Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.408745,0.233084,0.230234,1.29059,-0.537152,-0.226298,-0.769958,
-0.409315,0.233057,0.230373,1.28953,-0.53727,-0.226101,-0.76864,
-0.409748,0.233237,0.230889,1.28871,-0.537676,-0.22616,-0.770858,
-0.410365,0.233049,0.231029,1.28774,-0.537827,-0.226187,-0.769987,
-0.410689,0.233337,0.231429,1.28729,-0.538216,-0.226158,-0.77202,
-0.411214,0.233346,0.231689,1.28644,-0.538354,-0.225813,-0.768581,
-0.411654,0.233351,0.231849,1.28569,-0.538387,-0.225909,-0.770615,
-0.412019,0.233542,0.23212,1.28514,-0.538639,-0.225544,-0.769993,
-0.41249,0.233391,0.232363,1.28411,-0.538325,-0.225915,-0.769245,
-0.412961,0.233356,0.232509,1.28336,-0.538355,-0.225787,-0.768472,
-0.413302,0.233517,0.232985,1.28298,-0.53883,-0.225839,-0.769639,
-0.4138,0.233439,0.2333,1.28217,-0.538418,-0.226187,-0.770246,
-0.413969,0.233493,0.233309,1.28174,-0.538192,-0.226167,-0.769275,
-0.414411,0.233458,0.23334,1.28124,-0.538516,-0.22601,-0.76702,
-0.414749,0.233704,0.234069,1.28078,-0.538492,-0.226315,-0.769724,
-0.415092,0.233569,0.23398,1.28038,-0.538601,-0.226056,-0.766099,
-0.415441,0.233846,0.234664,1.27987,-0.538285,-0.226472,-0.769766,
-0.415763,0.233614,0.234546,1.27947,-0.538225,-0.22652,-0.766614,
-0.41602,0.233685,0.234844,1.27922,-0.538098,-0.226685,-0.768623,
-0.416395,0.233707,0.235036,1.27875,-0.537833,-0.226721,-0.765688,
-0.416433,0.233871,0.235222,1.27881,-0.537886,-0.226805,-0.76587,
-0.416779,0.233815,0.235445,1.27839,-0.537702,-0.226895,-0.765358,
-0.417105,0.233791,0.235891,1.27796,-0.537283,-0.22772,-0.766526,
-0.417286,0.233769,0.235701,1.27795,-0.537385,-0.22743,-0.764265,
-0.417542,0.233804,0.236155,1.27779,-0.537297,-0.227767,-0.766637,
-0.417737,0.23387,0.236469,1.27763,-0.536953,-0.228088,-0.764287,
-0.417989, 0.234,0.236935,1.27764,-0.53705,-0.228319,-0.767564,
-0.418203,0.233712,0.236466,1.27754,-0.536695,-0.228246,-0.762655,
-0.418229,0.233971,0.236827,1.2777,-0.536598,-0.228426,-0.763249,
-0.418525,0.233968,0.237259,1.27753,-0.536489,-0.228639,-0.761751,
