Pectoralis,AntDelt,PostDelt,TeresMaj,TriLong,TriShort,BicepLong,BicepShort,Brachiorad,FlexCarpiRad,FlexCarpiUln,ExtCarpiRad,
-0.00402431,-0.00270046,0.00687167,-0.0113326,-0.0514954,0.087279,-0.0156238,-0.00700593,-0.00684358,0.0122975,-0.00693489,0.0163948,
-0.00964854,-0.00737211,0.00620913,-0.00643261,-0.0520303,0.0481147,-0.00972312,-0.00794011,-0.00203247,0.0103463,-0.00447496,-0.00764038,
-0.00787212,-0.0252639,0.0110211,-0.0060393,-0.0387247,0.010891,-0.011553,-0.00887613,0.00149611,0.00614227,0.00152291,-0.0184704,
-0.00931901,-0.0670001,0.00553232,0.00143723,-0.0173735,-0.00958325,-0.00662614,-0.00369709,-0.00366247,0.00354873,0.00622955,-0.0103004,
-0.00175524,-0.0952356,0.00229866,0.00118764,-0.00890283,-0.0339126,-0.00878605,-0.00721227,-0.0271664,-0.00999012,0.00159635,0.0101088,
-0.00417523,-0.0909759,0.00486142,0.00866514,0.00149665,-0.0469662,-0.00805255,-0.00300261,-0.0268413,-0.00324594,-0.00014293,0.0131384,
-0.00659861,-0.105088,0.00227459,0.000689905,-0.00259397,-0.0706362,-0.0131181,-0.0110285,-0.0184622,-0.00133025,-0.00735884,0.011666,
-0.00226444,-0.134996,0.00355253,0.00301728,0.0106977,-0.0791678,-0.00981719,-0.0065003,-0.000419258,0.00283965,-0.00588597,0.00665726,
-0.00662575,-0.139491,-0.000641099,-0.000127908,0.0152944,-0.0773901,-0.0132811,-0.00487123,-0.000399438,0.00185906,-0.00506069,0.00100967,
-0.0142093,-0.1263,-0.00322358,0.00960502,0.013128,-0.0759273,-0.00805668,-0.00195598,0.00509916,-0.000408751,0.0102482,-0.00495498,
-0.0124593,-0.105081,-0.00355104,0.00549485,-0.00352822,0.000232861,-0.0186114,-0.0103102,0.00674033,0.000865317,0.0197584,-0.00415409,
-0.0065265,-0.0764762,-0.000657679,0.00621421,-0.0131039,0.0419522,-0.0175801,-0.00514434,0.0141825,-0.00655256,0.0324842,-0.00173884,
0.00230151,-0.0533633,-0.00548952,0.00242673,0.00114193,0.0724105,-0.0184844,0.00130793,0.0161577,0.000839334,0.0381233,-0.000928759,
0.00855192,-0.0476534,-0.00355918,0.00443453,0.013454,0.0784081,-0.0100562,0.0077589,0.0149196,-0.00207049,0.0334563,0.000207706,
0.00514222,-0.0258637,-1.77406e-05,0.00837426,0.0167497,0.0902074,-0.0174068,0.0055162,0.00853676,0.00693193,0.0303948,0.009719,
0.00140894,0.0168357,0.00481286,0.00169013,0.0103852,0.101691,-0.00930787,0.00166264,-0.0116833,0.00144732,0.0199244,0.02181,
0.00604472,0.0810896,0.00320601,0.00466445,-0.000166404,0.108997,-0.00829512,-0.00315783,-0.0161218,-0.00210531,0.00236685,0.0203836,
5.51676e-05,0.0957497,0.00481997,0.00570724,-0.0078224,0.101177,-0.00374435,0.00393253,-0.00960776,-0.00597959,-0.0032836,0.0150979,
-0.00207212,0.118122,0.00933279,0.00514039,-0.00904136,0.072758,-0.00756729,-0.00121187,0.00141995,-0.00341476,-0.0102267,0.00466491,
-0.00033695,0.117945,0.00676425,0.00103218,0.00454728,0.0173012,-0.0030228,0.00523275,0.0176053,-0.000205814,-0.0229699,-0.000291419,
0.00332922,0.0852395,0.0083823,0.0014311,0.019422,-0.0358974,0.00119683,0.00266216,0.0260708,-0.00601104,-0.0276698,-0.00363455,
0.00731688,0.0682965,0.0148308,-0.00493091,0.0278562,-0.0749268,0.00734535,0.00781741,0.0322895,-0.00215781,-0.0275461,-0.00117942,
0.00905067,0.0709798,0.00840291,-0.00517622,0.0285623,-0.123611,0.00222328,0.000416208,0.0240275,-0.00796267,-0.0316133,-0.00355027,
0.0101405,0.0730075,0.014532,-0.000592669,0.0125257,-0.128509,0.00772284,0.0026726,0.0102994,-0.00571883,-0.0263499,-0.0104253,
0.00768908,0.0846819,0.011004,0.000771122,-0.0125268,-0.119238,0.000986288,-0.00569572,-0.0101827,-0.00830397,-0.0194827,-0.0195512,
0.00845733,0.11051,0.013272,0.00310034,-0.0227716,-0.0861423,0.00165222,-0.00344052,-0.00651229,-0.00123071,-0.014875,-0.0277086,
0.00471883,0.118299,0.0139314,0.0054291,-0.0165991,-0.0623807,-0.00122526,-0.0047272,-0.00637648,-0.0063911,-0.0163902,-0.0229858,
0.00291256,0.100964,0.0197427,3.07186e-05,0.00148372,-0.0411928,0.00201226,-0.000219383,-0.00108281,-0.00640025,-0.0163017,-0.0137533,
0.0110872,0.062692,0.013965,-0.000539127,0.013448,-0.0245103,-0.00022501,0.00267832,-0.0093039,-0.00769701,-0.00817075,-0.00419663,
0.0118581,0.0150717,0.0139829,-0.00400712,0.0144646,-0.00557252,0.00429686,0.00976091,0.000832509,-0.00480833,-0.0135674,-0.00912508,
0.0155274,-0.0361021,0.0111039,0.000894649,0.0151577,0.0297861,0.010105,0.0145896,0.0164487,0.00355357,-0.00641431,-0.010188,
0.00889573,-0.0525184,0.00339608,-0.00482848,0.00393731,0.0484056,0.0078632,0.0123354,0.0185502,0.00676465,-0.012145,-0.00867337,
0.0164307,-0.054782,0.00180543,-0.00282586,-0.00309947,0.0583345,0.0127029,0.0126564,0.0148636,0.00740045,-0.00757949,-0.00361526,
0.018816,-0.0602779,-0.00300459,-0.0114483,-0.0220498,0.0611825,0.0133561,0.00718232,0.00989594,0.0135096,-0.00108834,-0.00274038,
0.0241001,-0.0583822,-0.00556112,-0.00655009,-0.0426114,0.0569494,0.0140084,0.00202999,0.00332536,0.00867295,-0.0036175,0.0036095,
0.01683,-0.0806454,-0.0139129,-0.0116332,-0.0416046,0.0646298,0.0124061,0.00589186,0.00481005,0.0192898,-0.00647451,0.000946943,
0.0140685,-0.0964829,-0.0122849,-0.0102785,-0.0257901,0.0430147,0.015632,0.00653412,0.00533557,0.0160635,-0.00772765,0.00504707,
0.00712341,-0.110402,-0.0119453,-0.00634933,-0.0125527,0.0191472,0.0166035,0.0100737,0.015526,0.010262,-0.00673299,0.0136562,
0.00339924,-0.129808,-0.0141819,-0.00628465,-0.00543369,-0.0134119,0.00791591,0.0033109,0.0128452,-0.00809514,-0.00542212,0.0135748,
-0.00740609,-0.12508,-0.0157755,-0.00364557,-0.00185735,0.0116571,-0.00302597,0.000411197,0.0108149,-0.00810136,-0.00637051,0.00222714,
-0.00211276,-0.101693,-0.0164042,-0.00551484,-0.0111599,0.00260035,-0.00624197,-0.0102154,-0.0079501,-0.0151902,-0.00925615,0.00021748,
-0.00229087,-0.0673716,-0.0199315,-0.00159031,-0.0262585,-0.00774429,-0.00527342,-0.00828643,-0.00159729,-0.00682564,-0.013757,-0.00822941,
-0.00826237,-0.0198624,-0.0224941,-0.00442773,-0.0271926,-0.0254941,-0.00849078,-0.0140844,0.00122037,-0.0132704,-0.0144,-0.00766037,
-0.0151981,0.0141142,-0.024092,-0.00243718,-0.00655738,-0.0406691,-0.00398216,-0.0127999,0.00887328,-0.0103787,-0.0118289,-0.0141726,
-0.0166592,0.0319833,-0.0250474,-0.00559885,0.00602868,-0.0436114,-0.00559102,-0.0121596,0.0113812,-0.0100625,-0.00668747,-0.00104492,
-0.0232697,0.0372868,-0.0192431,-0.0029667,0.0108877,-0.0381845,-0.00204933,-0.00765625,0.013895,-0.00974626,0.00134635,0.0101525,
-0.0202203,0.0419373,-0.0192351,0.0019179,0.0157465,-0.0266423,-0.000761726,-0.00959197,0.0109416,-0.00685437,0.0100191,0.0245706,
-0.0281151,0.052696,-0.0169748,-0.00124716,0.0193175,-0.0353841,-0.000440371,-0.00605487,-0.003918,-0.0104012,0.0070971,0.0296536,
-0.0208768,0.0502469,-0.0105303,-0.00151584,0.0338345,-0.0399426,-0.00269492,-0.00573733,-0.0113673,-0.0126601,0.0122189,0.034094,
-0.004944,0.0407075,-0.00795029,-0.00017589,0.0335425,-0.0387081,0.00020129,-0.00638572,-0.0175234,-0.00815802,0.0102535,0.0221164,
0.026766,0.035024,-0.00537132,0.00406047,0.0142563,-0.0323245,-0.00334159,-0.00542444,-0.00371377,0.000529556,0.00763962,0.0127152,
0.0343327,0.0241827,-0.00536885,-0.000718593,0.00140929,-0.0291625,0.000520001,0.00100989,0.00720361,0.00760774,0.0133919,0.00653429,
0.034819,0.0152664,-0.00150395,0.00158403,-0.00725195,-0.0301878,0.000518159,0.00519072,0.00685815,0.00792552,0.0149546,-0.00286547,
0.0343419,0.00763174,-0.00504452,0.00388564,-0.00979573,-0.0209131,0.00470149,0.00679617,0.00683964,0.0143606,0.0252054,-0.0241766,
0.0148727,-0.00644768,-0.00279083,-0.000252598,-0.00750974,-0.0116404,0.00341181,0.0106554,0.00360663,0.00952825,0.0257939,-0.0445217,
