ra_sh_e_f,ra_sh_ad_ab,ra_sh_ext_int,ra_el_e_f,ra_wr_e_f,ra_wr_s_p,ra_wr_ad_ab
0.1615193367741626,0.04603313999310356,-0.0965894371345007,0.23651521020016636,0.23651521020016636,-0.05290931054052227,0.32682534367823285
0.16178235598683044,0.04603394307296545,-0.09670548820107815,0.2363592805817534,0.2363592805817534,-0.052893851253180996,0.3262182039283778
0.16192708376484016,0.04609296944281394,-0.09684842368462336,0.23643231658118247,0.23643231658118247,-0.05284486338160605,0.32689882775127804
0.16221698739447574,0.046068274737060995,-0.09688785416284273,0.2364878777095825,0.2364878777095825,-0.052775999283449476,0.3271959005587717
0.16245849907356935,0.046086143263987925,-0.09695820172057501,0.23642783584502114,0.23642783584502114,-0.05269769899691576,0.327710289070088
0.16268880891225976,0.04607891554523096,-0.09699225531540082,0.23641170519484053,0.23641170519484053,-0.052625622579311644,0.3278460553757751
0.16296885492234048,0.04601105529690174,-0.09683184496082657,0.23629655027549532,0.23629655027549532,-0.05254029534398644,0.3274566794033588
0.16320633393888895,0.04600543373786855,-0.09684663139015884,0.23613076303752753,0.23613076303752753,-0.05246641199669309,0.3276090244328428
0.16348234728642452,0.04596507897480887,-0.09684080643314917,0.2361688492948985,0.2361688492948985,-0.05241722335515268,0.3274790830841653
0.16373058006976007,0.04603394307296545,-0.09709531224711053,0.23622620271776304,0.23622620271776304,-0.052373857042610925,0.32766368941401053
0.1639658187182279,0.045986762131079745,-0.0969841899903105,0.23625084676665015,0.23625084676665015,-0.05231503144272791,0.3277945269099202
0.1641562500050828,0.04604056848182599,-0.09713519079894603,0.23618005113530174,0.23618005113530174,-0.052208221821097286,0.32823095061203006
0.164382527181228,0.046080722474920205,-0.09726423600039122,0.2362167931718243,0.2362167931718243,-0.052177905556311154,0.32866916660860435
0.16467825576787326,0.04603213614327621,-0.09721853249154605,0.23602949840028234,0.23602949840028234,-0.05209719603019179,0.32806785181575904
0.16487899274789913,0.046083734024402266,-0.09739372927545256,0.23624681410410497,0.23624681410410497,-0.052029737321793515,0.32834700167860753
0.16514066773971858,0.04606566472750988,-0.097346681545759,0.23601874463349523,0.23601874463349523,-0.05192533693974855,0.3285679019713592
0.16539203703836705,0.0460564293090982,-0.0973713255946461,0.2361876683867759,0.2361876683867759,-0.05181109882939552,0.32939190935142076
0.16566715423867034,0.046099394081709016,-0.0976446505004849,0.23597483341911457,0.23597483341911457,-0.05186209440062516,0.3290473407406174
0.16583114918217362,0.04612971034649515,-0.0977338171500946,0.2360151600445662,0.2360151600445662,-0.051801060331121966,0.3295581446630047
0.16614972952324147,0.04610280717112202,-0.09768990593571394,0.23608774797037912,0.23608774797037912,-0.051655301336189965,0.33033331201890814
0.1664176775456867,0.04612569494718573,-0.09777503992277847,0.23611821697627589,0.23611821697627589,-0.051620367362197994,0.3311039986386503
0.16664440279544807,0.046169262029692945,-0.0979963882891463,0.2360263618849694,0.2360263618849694,-0.05156555716162439,0.3308696561374147
0.16688994713708685,0.04616243585086693,-0.09805105327031405,0.23605279822832104,0.23605279822832104,-0.0514732029775077,0.33031359677979844
0.1671534144233708,0.04619355519551495,-0.09819533297470764,0.23614330909877915,0.23614330909877915,-0.05144650057210004,0.33118465188955354
0.16740567986925153,0.04617829667813914,-0.09819398875385926,0.23586505538316294,0.23586505538316294,-0.051318208564164025,0.33098167454144706
0.1676830374376355,0.04622748531967956,-0.09845790411375933,0.23583727481896294,0.23583727481896294,-0.051370810295117454,0.3314127213601633
0.16794426435583878,0.04623912997767688,-0.09849599037113031,0.23586819189847583,0.23586819189847583,-0.05126861838269267,0.33216862155057325
0.16829286562918727,0.04622728454971409,-0.0986339970448981,0.2357189833843048,0.2357189833843048,-0.05119172348591726,0.33216145237271516
0.16853168886658412,0.04626201775374058,-0.09876797105612073,0.23579605204627904,0.23579605204627904,-0.05105540067936241,0.3322447940653152
0.16882024827537134,0.04624535384660648,-0.09883114943599493,0.23567462409630804,0.23567462409630804,-0.05098774120099865,0.33196205961353764
0.16910029428545206,0.046299561737283675,-0.09904667284535307,0.23571181420644674,0.23571181420644674,-0.050906228595017394,0.3322878091324636
